dataset,method,n_seeds,seeds,ndcg@10_mean,ndcg@10_std,ndcg@10_ci_lo,ndcg@10_ci_hi,precision@10_mean,precision@10_std,precision@10_ci_lo,precision@10_ci_hi,recall@10_mean,recall@10_std,recall@10_ci_lo,recall@10_ci_hi,f1@10_mean,f1@10_std,f1@10_ci_lo,f1@10_ci_hi
Stravl,BPR,5,"123,2024,42,456,789",0.049479767527162696,0.0012095223662750491,0.04780068130042689,0.0511588537538985,0.010067441293572765,0.00020544716447156385,0.009782234906485845,0.010352647680659684,0.09046801767619554,0.0019173437146860132,0.08780631789038468,0.0931297174620064,0.017637849935797447,0.00035601257653839564,0.017143625248038006,0.018132074623556888
Stravl,Multimodal CF,5,"123,2024,42,456,789",0.04201746159323751,0.000715846069734439,0.041023707935042876,0.04301121525143214,0.009146014463313562,0.00010002566349865412,0.009007156581406063,0.009284872345221061,0.08063319008827644,0.0008627103003970196,0.07943555619290592,0.08183082398364695,0.01590601844962356,0.00017796904698935155,0.01565895780492841,0.016153079094318713
Stravl,CLER,5,"123,2024,42,456,789",0.051326929536384146,0.00130467273275303,0.04951575342501555,0.05313810564775274,0.01038270902738279,0.00023189035177228402,0.010060793611322415,0.010704624443443167,0.09343679448645274,0.0021677425728481377,0.0904274853585962,0.09644610361430929,0.01819632370111191,0.00041024959142968963,0.01762680596609473,0.018765841436129086
Stravl,CV-CLER,5,"123,2024,42,456,789",0.055240616207695256,0.0006176162950418451,0.054383227338065596,0.05609800507732492,0.011074997968635737,9.479312965362788e-05,0.01094340400821914,0.011206591929052335,0.09979759929531269,0.0008087718433150726,0.09867484398251572,0.10092035460810966,0.01941662395014145,0.00017335025615975683,0.01917597521504168,0.019657272685241218
Stravl,ARFusion-Rec,5,"123,2024,42,456,789",0.054991382579506906,0.0006258459137832533,0.05412256916754113,0.05586019599147268,0.011057121963110426,0.00013493152680358887,0.010869806974545081,0.011244436951675771,0.09971836749822031,0.0008436510474498653,0.09854719208762673,0.1008895429088139,0.019400618156863565,0.00020871249453312376,0.01911087876494351,0.01969035754878362
Stravl,XSimGCL,5,"123,2024,42,456,789",0.055350726695964934,0.00031514700999693855,0.05491323250930307,0.0557882208826268,0.01106443487446169,7.55973241219653e-05,0.01095948896419945,0.011169380784723931,0.10016011262018601,0.0007394486400363899,0.09913359334159891,0.10118663189877311,0.019425099882925248,0.00013644942233439304,0.019235677717551553,0.019614522048298944
Stravl,BM3,5,"123,2024,42,456,789",0.0389193525738316,0.00038628983882026444,0.03838309630774151,0.039455608839921684,0.008383846591370765,9.141048905777409e-05,0.00825694848891667,0.008510744693824861,0.074105694835744,0.0009032856446363948,0.07285173333242093,0.07535965633906708,0.014598691421077722,0.00017043452670480267,0.014362090367364596,0.014835292474790847
Stravl,DiffRec,5,"123,2024,42,456,789",0.04924466984315266,0.00048347880263467354,0.04857349366563169,0.04991584602067362,0.01007637929633542,8.4340522075128e-05,0.009959295881492762,0.010193462711178077,0.0904487651111152,0.0007804495560338363,0.08936532743626323,0.09153220278596717,0.017643362633157633,0.00014296411343147857,0.017444896626679748,0.01784182863963552
Stravl,RC-SAFR,5,"123,2024,42,456,789",0.04808380396539074,0.0008478657079565349,0.04690677766803025,0.04926083026275123,0.010131632404322743,9.929694176106351e-05,0.009993786150365936,0.010269478658279551,0.09029547881210975,0.0010000947305676914,0.08890712475240037,0.09168383287181914,0.017693094815179257,0.00017857209783718085,0.017445197001696784,0.01794099262866173
Beliefs,BPR,5,"123,2024,42,456,789",0.15724058045897404,0.0011735448698757683,0.15561143900412577,0.15886972191382231,0.12848317705460563,0.0014432226313448552,0.12647966284935158,0.13048669125985968,0.08176499484341485,0.0011451496990438734,0.0801752722051003,0.08335471748172939,0.07760206169369124,0.0009486515972566994,0.07628512215182053,0.07891900123556196
Beliefs,Multimodal CF,5,"123,2024,42,456,789",0.10596672250759391,0.0022286854634545467,0.10287281108457698,0.10906063393061084,0.08869277440706012,0.0018478896156186122,0.08612749236794506,0.09125805644617518,0.05754176560220366,0.0022511287272566696,0.0544166979342227,0.060666833270184614,0.05389322143972678,0.0015721161084113885,0.051710774402726076,0.056075668476727486
Beliefs,CLER,5,"123,2024,42,456,789",0.1743089140653078,0.0022149903887227515,0.17123401445389308,0.1773838136767225,0.14143408714837288,0.0020049925987188177,0.13865071120503755,0.14421746309170821,0.09300976506323642,0.000846308966187754,0.09183489986990792,0.09418463025656493,0.08698301430611963,0.0010826362119431463,0.08548007430043991,0.08848595431179934
Beliefs,CV-CLER,5,"123,2024,42,456,789",0.17355721916194997,0.0025836143193297893,0.1699705874966389,0.17714385082726103,0.14070601213458356,0.001935066701519584,0.13801970889875093,0.1433923153704162,0.09262569973635551,0.0011630431417691104,0.09101113701730615,0.09424026245540487,0.0863170962774083,0.0012863976220966846,0.08453129008680409,0.08810290246801251
